Product ID,Product Title (ZH),Product Title (EN),URL,Variant Name (ZH),Variant Name (EN),Option Type 1,Option Value 1,Option Type 2,Option Value 2,Price CNY,Shipping CNY,Cost CAD,Price CAD,Margin %,Margin Promo %,SKU Key,In Stock
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 快拆带锁棍喷W手电手K四件套装,"One Size Fits All / Quick Release Locking Baton, OC Spray, Flashlight, Handcuff Pouch 4-Piece Set",Color,均码,Size,快拆带锁棍喷W手电手K四件套装,160.0,30,36.1,51.99,20.6,10.6,variant_1,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 快拆带锁棍喷W手电三件套装,"One Size Fits All / Quick Release Locking Baton, OC Spray, Flashlight Pouch 3-Piece Set",Color,均码,Size,快拆带锁棍喷W手电三件套装,120.0,30,28.5,39.99,18.7,8.7,variant_2,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 快拆92/92G双防腰套,One Size Fits All / Quick Release 92/92G Dual Retention Belt Holster,Color,均码,Size,快拆92/92G双防腰套,65.0,30,18.05,25.99,20.6,10.6,variant_3,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 侧开快拆带锁棍套,One Size Fits All / Side Opening Quick Release Locking Baton Holster,Color,均码,Size,侧开快拆带锁棍套,48.0,30,14.82,20.99,19.4,9.4,variant_4,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 侧开快拆带锁手电套,One Size Fits All / Side Opening Quick Release Locking Flashlight Holster,Color,均码,Size,侧开快拆带锁手电套,48.0,30,14.82,20.99,19.4,9.4,variant_5,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 侧开快拆带锁喷W套,One Size Fits All / Side Opening Quick Release Locking OC Spray Holster,Color,均码,Size,侧开快拆带锁喷W套,48.0,30,14.82,20.99,19.4,9.4,variant_6,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 快拆通用手K套,One Size Fits All / Quick Release Universal Handcuff Pouch,Color,均码,Size,快拆通用手K套,58.0,30,16.72,23.99,20.3,10.3,variant_7,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 文件包,One Size,Color,均码,Size,文件包,55.0,30,16.15,22.99,19.8,9.8,variant_8,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 水壶袋,One Size / Canteen Pouch,Color,均码,Size,水壶袋,58.0,30,16.72,23.99,20.3,10.3,variant_10,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,均码 / 快拆D夹套,One Size / Quick Release D-Clip Pouch,Color,均码,Size,快拆D夹套,48.0,30,14.82,20.99,19.4,9.4,variant_11,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / A款套装,S / Style A Set,Color,S,Size,A款套装,202.0,30,44.08,62.99,20.0,10.0,variant_12,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 快拆带锁棍喷W手电手K四件套装,"S / Quick Release Locking Baton, Spray, Flashlight, Handcuff Pouch 4-Piece Set",Color,S,Size,快拆带锁棍喷W手电手K四件套装,160.0,30,36.1,51.99,20.6,10.6,variant_16,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 快拆带锁棍喷W手电三件套装,"S / Quick Release Locking Baton, Spray, Flashlight Pouch 3-Piece Set",Color,S,Size,快拆带锁棍喷W手电三件套装,120.0,30,28.5,39.99,18.7,8.7,variant_17,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 勤务腰封,S / Duty Belt Pad,Color,S,Size,勤务腰封,65.0,30,18.05,25.99,20.6,10.6,variant_19,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 外腰带+勤务腰封,S / Outer Duty Belt + Duty Belt Pad,Color,S,Size,外腰带+勤务腰封,107.0,30,26.03,36.99,19.6,9.6,variant_21,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 外腰带+勤务腰封+内腰带,S / Outer Duty Belt + Duty Belt Pad + Inner Belt,Color,S,Size,外腰带+勤务腰封+内腰带,145.0,30,33.25,47.99,20.7,10.7,variant_22,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 快拆92/92G双防腰套,S / Quick Release 92/92G Double Retention Holster,Color,S,Size,快拆92/92G双防腰套,65.0,30,18.05,25.99,20.6,10.6,variant_23,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 侧开快拆带锁棍套,S / Side Opening Quick Release Locking Baton Pouch,Color,S,Size,侧开快拆带锁棍套,48.0,30,14.82,20.99,19.4,9.4,variant_24,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 侧开快拆带锁手电套,S / Side Opening Quick Release Locking Flashlight Pouch,Color,S,Size,侧开快拆带锁手电套,48.0,30,14.82,20.99,19.4,9.4,variant_25,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 侧开快拆带锁喷W套,S / Side Opening Quick Release Locking Spray Pouch,Color,S,Size,侧开快拆带锁喷W套,48.0,30,14.82,20.99,19.4,9.4,variant_26,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 快拆通用手K套,S / Quick Release Universal Handcuff Pouch,Color,S,Size,快拆通用手K套,58.0,30,16.72,23.99,20.3,10.3,variant_27,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 文件包,S / Admin Pouch,Color,S,Size,文件包,55.0,30,16.15,22.99,19.8,9.8,variant_28,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 水壶袋,S / Canteen Pouch,Color,S,Size,水壶袋,58.0,30,16.72,23.99,20.3,10.3,variant_30,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,S / 快拆D夹套,S / Quick Release D-Clip Pouch,Color,S,Size,快拆D夹套,48.0,30,14.82,20.99,19.4,9.4,variant_31,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / A款套装,M / Style A Set,Color,M,Size,A款套装,202.0,30,44.08,62.99,20.0,10.0,variant_32,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 快拆带锁棍喷W手电手K四件套装,"M / Quick Release Locking Baton, Spray, Flashlight, Handcuff Pouch 4-Piece Set",Color,M,Size,快拆带锁棍喷W手电手K四件套装,160.0,30,36.1,51.99,20.6,10.6,variant_36,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 快拆带锁棍喷W手电三件套装,"M / Quick Release Locking Baton, Spray, Flashlight Pouch 3-Piece Set",Color,M,Size,快拆带锁棍喷W手电三件套装,120.0,30,28.5,39.99,18.7,8.7,variant_37,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 勤务腰封,M / Duty Belt Pad,Color,M,Size,勤务腰封,65.0,30,18.05,25.99,20.6,10.6,variant_39,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 外腰带+勤务腰封,M / Outer Duty Belt + Duty Belt Pad,Color,M,Size,外腰带+勤务腰封,107.0,30,26.03,36.99,19.6,9.6,variant_41,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 外腰带+勤务腰封+内腰带,M / Outer Duty Belt + Duty Belt Pad + Inner Belt,Color,M,Size,外腰带+勤务腰封+内腰带,145.0,30,33.25,47.99,20.7,10.7,variant_42,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 快拆92/92G双防腰套,M / Quick Release 92/92G Double Retention Holster,Color,M,Size,快拆92/92G双防腰套,65.0,30,18.05,25.99,20.6,10.6,variant_43,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 侧开快拆带锁棍套,M / Side Opening Quick Release Locking Baton Pouch,Color,M,Size,侧开快拆带锁棍套,48.0,30,14.82,20.99,19.4,9.4,variant_44,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 侧开快拆带锁手电套,M / Side Opening Quick Release Locking Flashlight Pouch,Color,M,Size,侧开快拆带锁手电套,48.0,30,14.82,20.99,19.4,9.4,variant_45,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 侧开快拆带锁喷W套,M / Side Opening Quick Release Locking Spray Pouch,Color,M,Size,侧开快拆带锁喷W套,48.0,30,14.82,20.99,19.4,9.4,variant_46,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 快拆通用手K套,M / Quick Release Universal Handcuff Pouch,Color,M,Size,快拆通用手K套,58.0,30,16.72,23.99,20.3,10.3,variant_47,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 文件包,M / Admin Pouch,Color,M,Size,文件包,55.0,30,16.15,22.99,19.8,9.8,variant_48,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 水壶袋,M / Canteen Pouch,Color,M,Size,水壶袋,58.0,30,16.72,23.99,20.3,10.3,variant_50,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,M / 快拆D夹套,M / QD D-ring Pouch,Color,M,Size,快拆D夹套,48.0,30,14.82,20.99,19.4,9.4,variant_51,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,L / A款套装,L / Type A Set,Color,L,Size,A款套装,202.0,30,44.08,62.99,20.0,10.0,variant_52,Yes
974743803214,战术新白色八件套装安保巡逻外腰带腰封多功能快拆带锁快拔套执勤,"Tactical New White 8-Piece Set (Security Patrol Duty Belt, Quick Release Locking Holster)",https://item.taobao.com/item.htm?id=974743803214,L / 快拆带锁棍喷W手电手K四件套装,"L / QD Locking Baton, Pepper Spray, Flashlight, Handcuff 4-piece Set",Color,L,Size,快拆带锁棍喷W手电手K四件套装,160.0,30,36.1,51.99,20.6,10.6,variant_56,Yes
