# Variants for Universal Nylon Tactical Underarm Multi-functional Accessory Strap, Quick-Release Shoulder Strap Lanyard, Single-Point Crossbody Sling
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

One Size Fits All / Black | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Army Green | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Khaki | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / CP Camo | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Ruin Camo | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Black + Shoulder Straps | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Army Green + Shoulder Straps | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Khaki + Shoulder Straps | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / CP Camo + Shoulder Straps | 15.99 | 14.99 | 31.7% | Active
One Size Fits All / Ruin Green Camo + Shoulder Straps | 15.99 | 14.99 | 31.7% | Active
