# Variants for Sports Arm Guards, Honeycomb Extended Anti-Collision, Anti-Drop, Anti-Abrasion, Thickened Sun Protection Professional Sleeves, Arm Protective Gear for Basketball, Football, Volleyball
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

Size XXS (Adult, 99-132 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, Black | 300.0 | 103.99 | 29.7% | Active
Size XXS (Adult, 99-132 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, Black | 12.2 | 12.99 | 28.3% | Active
Size XXS (Adult, 99-132 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, White | 26.6 | 17.99 | 30.2% | Active
Size XXS (Adult, 99-132 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, White | 12.2 | 12.99 | 28.3% | Active
Size XS (Adult, 133-165 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, Black | 26.6 | 17.99 | 30.2% | Active
Size XS (Adult, 133-165 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, Black | 300.0 | 103.99 | 29.7% | Active
Size XS (Adult, 133-165 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, White | 12.2 | 12.99 | 28.3% | Active
Size XS (Adult, 133-165 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, White | 26.6 | 17.99 | 30.2% | Active
Size S (Adult, 166-187 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, Black | 26.6 | 17.99 | 30.2% | Active
Size S (Adult, 166-187 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, Black | 300.0 | 103.99 | 29.7% | Active
Size S (Adult, 166-187 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, White | 26.6 | 17.99 | 30.2% | Active
Size S (Adult, 166-187 lbs) / 1 Honeycomb Extended Sports Arm Sleeve, White | 12.2 | 12.99 | 28.3% | Active
Size M (Adult, 188-231 lbs) / 2 Honeycomb Extended Sports Arm Sleeves, Black | 26.6 | 17.99 | 30.2% | Active
M Adult (85.5-105 kg) / 1 pc Honeycomb Extended Sports Arm Sleeve, Black | 12.2 | 12.99 | 28.3% | Active
M Adult (85.5-105 kg) / 2 pcs Honeycomb Extended Sports Arm Sleeve, White | 26.6 | 17.99 | 30.2% | Active
M Adult (85.5-105 kg) / 1 pc Honeycomb Extended Sports Arm Sleeve, White | 12.2 | 12.99 | 28.3% | Active
L Adult (105.5-125 kg) / 2 pcs Honeycomb Extended Sports Arm Sleeve, Black | 300.0 | 103.99 | 29.7% | Active
L Adult (105.5-125 kg) / 1 pc Honeycomb Extended Sports Arm Sleeve, Black | 26.6 | 17.99 | 30.2% | Active
L Adult (105.5-125 kg) / 2 pcs Honeycomb Extended Sports Arm Sleeve, White | 12.2 | 12.99 | 28.3% | Active
L Adult (105.5-125 kg) / 1 pc Honeycomb Extended Sports Arm Sleeve, White | 26.6 | 17.99 | 30.2% | Active
