# Variants for FPV Drone Rapid Deployment Camo Bag
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

One Size / Quick Release Universal Handcuff Pouch | 58.0 | 27.99 | 30.3% | Active
One Size / Document Pouch | 55.0 | 26.99 | 30.2% | Active
One Size / Radio Pouch | 45.0 | 23.99 | 30.6% | Active
One Size / Water Bottle Pouch | 58.0 | 27.99 | 30.3% | Active
One Size / Quick Release D-Clip Pouch | 48.0 | 24.99 | 30.7% | Active
S | 202.0 | 72.99 | 29.6% | Active
S | 390.0 | 132.99 | 30.0% | Active
S | 493.0 | 165.99 | 30.1% | Active
S | 554.0 | 184.99 | 30.0% | Active
S | 160.0 | 59.99 | 29.8% | Active
S | 120.0 | 46.99 | 29.3% | Active
S / 5cm Outer Duty Belt | 42.0 | 22.99 | 30.5% | Active
S / Duty Belt Pad | 65.0 | 29.99 | 29.8% | Active
S / Inner Belt | 38.0 | 21.99 | 31.2% | Active
S / Outer Duty Belt + Duty Belt Pad | 107.0 | 42.99 | 29.5% | Active
S / Outer Duty Belt + Duty Belt Pad + Inner Belt | 145.0 | 54.99 | 29.5% | Active
S / Quick-release 92/92G Double Retention Holster | 65.0 | 29.99 | 29.8% | Active
S / Side Opening Quick Release Locking Baton Pouch | 48.0 | 24.99 | 30.7% | Active
S / Side Opening Quick Release Locking Flashlight Pouch | 48.0 | 24.99 | 30.7% | Active
S / Side Opening Quick Release Locking Spray Pouch | 48.0 | 24.99 | 30.7% | Active
S / Quick-release Universal Pistol Holster | 58.0 | 27.99 | 30.3% | Active
S / Admin Pouch | 55.0 | 26.99 | 30.2% | Active
S / Radio Pouch | 45.0 | 23.99 | 30.6% | Active
S / Water Bottle Pouch | 58.0 | 27.99 | 30.3% | Active
S / Quick-Release D-Ring Pouch | 48.0 | 24.99 | 30.7% | Active
M / Set A | 202.0 | 72.99 | 29.6% | Active
M / Set B | 390.0 | 132.99 | 30.0% | Active
M / Set C | 493.0 | 165.99 | 30.1% | Active
M / Set D | 554.0 | 184.99 | 30.0% | Active
M / Quick-release Locking Baton, Spray, Flashlight, Pistol Holster 4-Piece Set | 160.0 | 59.99 | 29.8% | Active
M / Quick-release Locking Baton, Spray, Flashlight 3-Piece Set | 120.0 | 46.99 | 29.3% | Active
M / 5cm Duty Belt | 42.0 | 22.99 | 30.5% | Active
M / Battle Belt | 65.0 | 29.99 | 29.8% | Active
M / Inner Belt | 38.0 | 21.99 | 31.2% | Active
M / Outer Belt + Battle Belt | 107.0 | 42.99 | 29.5% | Active
M / Outer Belt + Battle Belt + Inner Belt | 145.0 | 54.99 | 29.5% | Active
M / Quick-release 92/92G Double Retention Holster | 65.0 | 29.99 | 29.8% | Active
M / Side-Opening Quick-Release Locking Baton Holster | 48.0 | 24.99 | 30.7% | Active
M / Side-Opening Quick-Release Locking Flashlight Holster | 48.0 | 24.99 | 30.7% | Active
M / Side-Opening Quick-Release Locking Pepper Spray Holster | 48.0 | 24.99 | 30.7% | Active
M / Quick-release Universal Pistol Holster | 58.0 | 27.99 | 30.3% | Active
M / Admin Pouch | 55.0 | 26.99 | 30.2% | Active
M / Radio Pouch | 45.0 | 23.99 | 30.6% | Active
M / Water Bottle Pouch | 58.0 | 27.99 | 30.3% | Active
M / Quick-Release D-Ring Pouch | 48.0 | 24.99 | 30.7% | Active
L / Set A | 202.0 | 72.99 | 29.6% | Active
L / Set B | 390.0 | 132.99 | 30.0% | Active
L / Set C | 493.0 | 165.99 | 30.1% | Active
L / Set D | 554.0 | 184.99 | 30.0% | Active
L / Quick-release Locking Baton, Spray, Flashlight, Pistol Holster 4-Piece Set | 160.0 | 59.99 | 29.8% | Active
L / Quick-release Locking Baton, Spray, Flashlight 3-Piece Set | 120.0 | 46.99 | 29.3% | Active
L / 5cm Outer Belt | 42.0 | 22.99 | 30.5% | Active
L / Duty Belt | 65.0 | 29.99 | 29.8% | Active
L / Inner Belt | 38.0 | 21.99 | 31.2% | Active
L / Outer Belt + Duty Belt | 107.0 | 42.99 | 29.5% | Active
L / Outer Belt + Duty Belt + Inner Belt | 145.0 | 54.99 | 29.5% | Active
L / Quick-release 92/92G Double Retention Holster | 65.0 | 29.99 | 29.8% | Active
L / Side-opening Quick-release Locking Baton Holster | 48.0 | 24.99 | 30.7% | Active
L / Side-opening Quick-release Locking Flashlight Holster | 48.0 | 24.99 | 30.7% | Active
L / Side-opening Quick-release Locking Spray Holster | 48.0 | 24.99 | 30.7% | Active
L / Quick-release Universal Pistol Holster | 58.0 | 27.99 | 30.3% | Active
L / Document Pouch | 55.0 | 26.99 | 30.2% | Active
L / Radio Pouch | 45.0 | 23.99 | 30.6% | Active
L / Water Bottle Pouch | 58.0 | 27.99 | 30.3% | Active
L / Quick-release D-Ring Pouch | 48.0 | 24.99 | 30.7% | Active
XL / Set A | 202.0 | 72.99 | 29.6% | Active
XL / Set B | 390.0 | 132.99 | 30.0% | Active
XL / Set C | 493.0 | 165.99 | 30.1% | Active
XL / Set D | 554.0 | 184.99 | 30.0% | Active
XL / Quick-release Locking Baton, Spray, Flashlight, Pistol Holster 4-Piece Set | 160.0 | 59.99 | 29.8% | Active
XL / Quick-release Locking Baton, Spray, Flashlight 3-Piece Set | 120.0 | 46.99 | 29.3% | Active
XL / 5cm Duty Belt | 42.0 | 22.99 | 30.5% | Active
XL / Battle Belt | 65.0 | 29.99 | 29.8% | Active
XL / Inner Belt | 38.0 | 21.99 | 31.2% | Active
XL / Outer Belt + Battle Belt | 107.0 | 42.99 | 29.5% | Active
XL / Outer Belt + Battle Belt + Inner Belt | 145.0 | 54.99 | 29.5% | Active
XL / Quick-release 92/92G Double Retention Holster | 65.0 | 29.99 | 29.8% | Active
XL / Side-Opening Quick-Release Locking Baton Holster | 48.0 | 24.99 | 30.7% | Active
XL / Side-Opening Quick-Release Locking Flashlight Holster | 48.0 | 24.99 | 30.7% | Active
XL / Side-Opening Quick-Release Locking Pepper Spray Holster | 48.0 | 24.99 | 30.7% | Active
XL / Quick-release Universal Pistol Holster | 58.0 | 27.99 | 30.3% | Active
XL / Admin Pouch | 55.0 | 26.99 | 30.2% | Active
XL / Radio Pouch | 45.0 | 23.99 | 30.6% | Active
XL / Water Bottle Pouch | 58.0 | 27.99 | 30.3% | Active
XL / Quick-Release D-Ring Pouch | 48.0 | 24.99 | 30.7% | Active
