# Variants for Viper 2011 Hi-Capa Speed Cocking Handle Model, G17 TTiG34 Magazine Base Plate, Magwell, Muzzle Brake
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

Silver Grip / Japan Marui Hi-Capa | 100.0 | 40.99 | 29.7% | Active
Silver Grip / Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Silver Grip / JMT Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Silver Grip / Lucifer 2011 | 36.88 | 20.99 | 29.5% | Active
Silver Grip / WK Viper 2011 | 100.0 | 40.99 | 29.7% | Active
Silver Grip / 2011 Viper (Compatible with AQK Manual Pull Models) | 36.88 | 20.99 | 29.5% | Active
Black Grip / Japan Marui Hi-Capa | 36.88 | 20.99 | 29.5% | Active
Black Handle / Tomato Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Black Handle / JMT Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Black Handle / Lucifer 2011 | 36.88 | 20.99 | 29.5% | Active
Black Handle / Blue Whale WK Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Black Handle / Black Hawk 2011 Viper (AQK Manual Slide Model Compatible) | 36.88 | 20.99 | 29.5% | Active
Titanium Grey Handle / Japan Marui hi–capa | 100.0 | 40.99 | 29.7% | Active
Titanium Grey Handle / Tomato Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Titanium Grey Handle / JMT Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Titanium Grey Handle / Lucifer 2011 | 36.88 | 20.99 | 29.5% | Active
Titanium Grey Handle / Blue Whale WK Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Titanium Grey Handle / Black Hawk 2011 Viper (AQK Manual Slide Model Compatible) | 36.88 | 20.99 | 29.5% | Active
Red Handle / Japan Marui hi–capa | 36.88 | 20.99 | 29.5% | Active
Red Handle / Tomato Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Red Handle / JMT Viper 2011 | 100.0 | 40.99 | 29.7% | Active
Red Handle / Lucifer 2011 | 36.88 | 20.99 | 29.5% | Active
Red Handle / Blue Whale WK Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Red Handle / Black Hawk 2011 Viper (AQK Manual Slide Model Compatible) | 36.88 | 20.99 | 29.5% | Active
Gold Handle / Japan Marui hi–capa | 36.88 | 20.99 | 29.5% | Active
Gold Handle / Tomato Viper 2011 | 100.0 | 40.99 | 29.7% | Active
Gold Handle / JMT Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Gold Handle / Lucifer 2011 | 36.88 | 20.99 | 29.5% | Active
Gold Handle / Blue Whale WK Viper 2011 | 36.88 | 20.99 | 29.5% | Active
Golden Grip / Blackhawk 2011 Viper (AQK Spring-Powered Model Compatible) | 36.88 | 20.99 | 29.5% | Active
