# Variants for Flashlight PEQ Pressure Switch Metal Slot Rail Mount Wire Clip Aluminum Cable
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

20MM Rail Cable Management [Green x3] | 600.0 | 198.99 | 29.8% | Active
20MM Rail Cable Management [Black x1] | 8.7 | 11.99 | 28.7% | Active
20MM Rail Cable Management [Tan x1] | 600.0 | 198.99 | 29.8% | Active
20MM Rail Cable Management [Red x1] | 8.7 | 11.99 | 28.7% | Active
20MM Rail Cable Management [Blue x1] | 600.0 | 198.99 | 29.8% | Active
20MM Rail Cable Management [Green x1] | 8.7 | 11.99 | 28.7% | Active
20MM Rail Cable Management [Black x3] | 600.0 | 198.99 | 29.8% | Active
20MM Rail Cable Management [Tan x3] | 25.0 | 16.99 | 28.5% | Active
20MM Rail Cable Management [Red x3] | 600.0 | 198.99 | 29.8% | Active
20MM Rail Cable Management [Blue x3] | 600.0 | 198.99 | 29.8% | Active
