# Variants for Tactical Laser Light PEQ15 Red/Green Laser Indicator, [Brand Name Removed] M300/M600 Flashlight Dual Control Tail Switch Set
# Format: Name | Price CNY | Price CAD | Margin | Status
# Edit this file to modify variants, then run: python folders_to_knack.py

Black - Full Function Red Laser + M300A + Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Tan - Full Function Red Laser + M300A + Pressure Switch Included Battery + Charger | 213.0 | 76.99 | 30.0% | Active
Black - Full Function Red Laser + M600C + Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Tan - Full Function Red Laser + M600C + Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Black - Full Function Green Laser + M300A + Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Tan - Full Function Green Laser + M300A + Pressure Switch Included Battery + Charger | 224.0 | 79.99 | 29.7% | Active
Black - Full Function Green Laser + M600C + Pressure Switch Included Battery + Charger | 239.0 | 84.99 | 29.9% | Active
Tan - Full Function Green Laser + M600C + Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Black - Full Function Red Laser + M300A + Constant On Dual Control Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
Tan - Full Function Red Laser + M300A + Constant On Dual Control Pressure Switch Included Battery + Charger | 1000.0 | 325.99 | 30.0% | Active
